Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"1u/16V","Capacitor_SMD:C_0805_2012Metric",""
C2 ,1,"47u/6V3","Capacitor_SMD:C_0805_2012Metric","https://www.vishay.com/doc?40189"
C3 ,1,"100n","Capacitor_SMD:C_0603_1608Metric","~"
H1 H2 ,2,"MountingHole","MountingHole:MountingHole_2.2mm_M2_ISO14580","~"
J1 ,1,"Pinheader right-angle 2x17","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Horizontal","~"
J2 J3 ,2,"Pinheader straight 1x06","rc-light-controller-tlc5940-lpc812:PinHeader_1x06_P2.54mm_Flat","~"
R1 ,1,"2k 1%","Resistor_SMD:R_0603_1608Metric","~"
RN1 ,1,"1k x4","Resistor_SMD:R_Array_Convex_4x0603","https://datasheet.lcsc.com/szlcsc/1810311812_UNI-ROYAL-Uniroyal-Elec-4D03WGJ0102T5E_C20197.pdf"
T9 ,1,"PMV30UN","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/PMV30UN.pdf"
U1 ,1,"LPC812M101JDH20","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf"
U2 ,1,"TLC5940PWP","rc-light-controller-tlc5940-lpc812:SOP65P640X120-29N","http://www.ti.com/lit/ds/symlink/tlc5940.pdf"
U3 ,1,"MCP1703A-3302_SOT23","Package_TO_SOT_SMD:SOT-23W","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf"
